bin,brand,type,level,bank,country
463196,VISA,DEBIT,CLASSIC,VICTORIABANK,"MOLDOVA, REPUBLIC OF"
463197,VISA,DEBIT,SIGNATURE,"BI BANK, S.A.",PANAMA
463198,VISA,CREDIT,,,UNITED STATES
463199,VISA,CREDIT,,PT BANK MANDIRI (PERSERO) TBK,INDONESIA
463200,VISA,CREDIT,,,UNITED STATES
463201,VISA,CREDIT,INFINITE,BANK OF SHANGHAI,CHINA
463202,VISA,CREDIT,PLATINUM,"HDFC BANK, LTD.",INDIA
463203,VISA,DEBIT,PREPAID,"JACCS COMPANY, LTD.",JAPAN
463204,VISA,DEBIT,PREPAID,"JACCS COMPANY, LTD.",JAPAN
463205,VISA,DEBIT,PREPAID,"JACCS COMPANY, LTD.",JAPAN
463206,VISA,DEBIT,PREPAID,,JAPAN
463207,VISA,DEBIT,PREPAID,,JAPAN
463208,VISA,DEBIT,CLASSIC,"STANDARD CHARTERED BANK (THAI) PUBLIC CO., LTD.",THAILAND
463209,VISA,CREDIT,GOLD,"PRIME BANK, LTD.",BANGLADESH
463210,VISA,CREDIT,PLATINUM,"PRIME BANK, LTD.",BANGLADESH
463211,VISA,CREDIT,,,UNITED STATES
463212,VISA,DEBIT,CLASSIC,"YUANTA COMMERCIAL BANK CO., LTD.","TAIWAN, PROVINCE OF CHINA"
463213,VISA,CREDIT,,,UNITED STATES
463214,VISA,DEBIT,PREPAID BUSINESS,"PATHWARD, N.A.",UNITED STATES
463215,VISA,CREDIT,,,UNITED STATES
463216,VISA,DEBIT,PREPAID,CENTRAL BANK OF INDIA,INDIA
463217,VISA,DEBIT,PREPAID,BANK OF BARODA,INDIA
463218,VISA,DEBIT,BUSINESS,GROUPE BPCE,FRANCE
463219,VISA,DEBIT,ELECTRON,GROUPE BPCE,FRANCE
463220,VISA,DEBIT,BUSINESS ENHANCED,"AXIS BANK, LTD.",INDIA
463221,VISA,CREDIT,CLASSIC,BBVA UK,UNITED KINGDOM
463222,VISA,CREDIT,GOLD,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),UNITED KINGDOM
463223,VISA,CREDIT,,,FRANCE
463224,VISA,CREDIT,,,UNITED STATES
463225,VISA,DEBIT,PLATINUM,MALAYAN BANKING BERHAD,MALAYSIA
463226,VISA,CREDIT,CLASSIC,"FOLKIA, A.S.",FINLAND
463227,VISA,CREDIT,CLASSIC,"FOLKIA, A.S.",ESTONIA
463228,VISA,CREDIT,CORPORATE T&E,"IDFC FIRST BANK, LTD.",INDIA
463229,VISA,CREDIT,GOLD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (MALAYSIA) BERHAD,MALAYSIA
463230,VISA,CREDIT,CLASSIC,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LTD.",CHINA
463231,VISA,CREDIT,GOLD,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LTD.",CHINA
463232,VISA,CREDIT,PLATINUM,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LTD.",CHINA
463233,VISA,DEBIT,,,GREECE
463234,VISA,CREDIT,,,UNITED STATES
463235,VISA,DEBIT,CORPORATE T&E,"KB KOOKMIN CARD CO., LTD.","KOREA, REPUBLIC OF"
463236,VISA,CREDIT,,,UNITED STATES
463237,VISA,DEBIT,CLASSIC,"DBS BANK INDIA, LTD.",INDIA
463238,VISA,DEBIT,SIGNATURE,"DBS BANK, LTD.",INDIA
463239,VISA,DEBIT,CLASSIC,VERMONT FEDERAL CREDIT UNION,UNITED STATES
463240,VISA,CREDIT,TRADITIONAL REWARDS,"KEMBA FINANCIAL CREDIT UNION, INC.",UNITED STATES
463241,VISA,DEBIT,CLASSIC,GTE FEDERAL CREDIT UNION,UNITED STATES
463242,VISA,DEBIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463243,VISA,DEBIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463244,VISA,DEBIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463245,VISA,DEBIT,CLASSIC,MOLOKAI COMMUNITY FEDERAL CREDIT UNION,UNITED STATES
463246,VISA,DEBIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463247,VISA,CREDIT,PLATINUM,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463248,VISA,DEBIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,UNITED STATES
463249,VISA,DEBIT,CLASSIC,FLORIDA CUSTOMS FEDERAL CREDIT UNION,UNITED STATES
